iter	Passed	Remaining
0	56	56715
1	57	28458
2	57	19031
3	57	14316
4	57	11487
5	57	9604
6	58	8255
7	58	7245
8	58	6459
9	58	5830
10	59	5315
11	59	4887
12	59	4524
13	59	4213
14	60	3943
15	60	3706
16	60	3497
17	60	3313
18	60	3147
19	61	2998
20	61	2864
21	61	2741
22	61	2629
23	62	2528
24	62	2434
25	62	2347
26	62	2267
27	63	2191
28	63	2122
29	63	2060
30	63	1998
31	64	1940
32	64	1886
33	64	1837
34	64	1789
35	65	1744
36	65	1702
37	65	1663
38	65	1624
39	66	1587
40	66	1552
41	66	1519
42	66	1489
43	67	1459
44	67	1429
45	67	1404
46	67	1378
47	68	1352
48	68	1327
49	68	1304
50	68	1281
51	69	1259
52	69	1238
53	69	1217
54	69	1198
55	69	1179
56	70	1161
57	70	1144
58	70	1126
59	70	1110
60	71	1094
61	71	1078
62	71	1063
63	71	1049
64	71	1035
65	72	1021
66	72	1008
67	72	995
68	72	983
69	73	971
70	73	959
71	73	947
72	73	936
73	73	925
74	74	914
75	74	904
76	74	894
77	74	884
78	75	875
79	75	866
80	75	857
81	75	848
82	75	839
83	76	830
84	76	822
85	76	814
86	76	806
87	77	798
88	77	790
89	77	783
90	77	775
91	77	768
92	78	761
93	78	754
94	78	747
95	78	741
96	78	734
97	79	728
98	79	722
99	79	717
100	79	710
101	80	704
102	80	699
103	80	693
104	80	687
105	80	683
106	81	677
107	81	673
108	81	668
109	81	662
110	82	657
111	82	652
112	82	648
113	82	642
114	82	637
115	83	633
116	83	628
117	83	624
118	83	619
119	83	615
120	84	610
121	84	606
122	84	602
123	84	598
124	84	594
125	85	590
126	85	586
127	85	582
128	85	579
129	85	575
130	86	571
131	86	568
132	86	564
133	86	561
134	87	557
135	87	554
136	87	550
137	87	547
138	87	544
139	88	541
140	88	537
141	88	534
142	88	531
143	88	528
144	89	525
145	89	522
146	89	519
147	89	516
148	89	513
149	90	510
150	90	508
151	90	505
152	90	502
153	91	500
154	91	497
155	91	494
156	91	491
157	91	489
158	91	486
159	92	483
160	92	481
161	92	478
162	92	476
163	92	473
164	93	471
165	93	469
166	93	466
167	93	464
168	94	462
169	94	460
170	94	458
171	94	455
172	94	453
173	95	451
174	95	449
175	95	447
176	95	445
177	95	443
178	96	441
179	96	439
180	96	437
181	96	435
182	96	433
183	97	430
184	97	428
185	97	427
186	97	425
187	98	423
188	98	421
189	98	419
190	98	417
191	98	415
192	99	414
193	99	412
194	99	410
195	99	408
196	99	407
197	100	405
198	100	403
199	100	402
200	100	400
201	100	398
202	101	397
203	101	395
204	101	393
205	101	392
206	102	390
207	102	389
208	102	387
209	102	386
210	102	384
211	103	383
212	103	381
213	103	380
214	103	378
215	103	376
216	104	375
217	104	374
218	104	372
219	104	371
220	104	369
221	105	368
222	105	366
223	105	365
224	105	363
225	105	362
226	106	361
227	106	359
228	106	358
229	106	357
230	106	356
231	107	354
232	107	353
233	107	352
234	107	351
235	108	349
236	108	348
237	108	347
238	108	345
239	108	344
240	109	343
241	109	342
242	109	340
243	109	339
244	109	338
245	110	337
246	110	336
247	110	335
248	110	333
249	110	332
250	111	331
251	111	330
252	111	329
253	111	328
254	111	327
255	112	326
256	112	324
257	112	323
258	112	322
259	113	321
260	113	320
261	113	319
262	113	318
263	113	317
264	114	316
265	114	315
266	114	314
267	114	313
268	114	312
269	115	311
270	115	310
271	115	309
272	115	308
273	116	307
274	116	306
275	116	305
276	116	304
277	116	303
278	117	302
279	117	301
280	117	300
281	117	299
282	117	298
283	118	297
284	118	296
285	118	295
286	118	294
287	118	294
288	119	293
289	119	292
290	119	291
291	119	290
292	120	289
293	120	288
294	120	287
295	120	286
296	120	286
297	121	285
298	121	284
299	121	283
300	121	282
301	121	281
302	122	280
303	122	279
304	122	279
305	122	278
306	122	277
307	123	276
308	123	275
309	123	274
310	123	274
311	123	273
312	124	272
313	124	271
314	124	270
315	124	270
316	125	269
317	125	268
318	125	267
319	125	267
320	125	266
321	126	265
322	126	264
323	126	264
324	126	263
325	126	262
326	127	261
327	127	260
328	127	260
329	127	259
330	127	258
331	128	257
332	128	257
333	128	256
334	128	255
335	129	255
336	129	254
337	129	253
338	129	252
339	129	252
340	130	251
341	130	250
342	130	249
343	130	249
344	130	248
345	131	247
346	131	247
347	131	246
348	131	245
349	131	245
350	132	244
351	132	243
352	132	242
353	132	242
354	132	241
355	133	240
356	133	240
357	133	239
358	133	238
359	133	238
360	134	237
361	134	236
362	134	236
363	134	235
364	135	234
365	135	234
366	135	233
367	135	233
368	135	232
369	136	231
370	136	231
371	136	230
372	136	229
373	136	229
374	137	228
375	137	227
376	137	227
377	137	226
378	137	226
379	138	225
380	138	224
381	138	224
382	138	223
383	138	222
384	139	222
385	139	221
386	139	221
387	139	220
388	140	219
389	140	219
390	140	218
391	140	218
392	140	217
393	141	217
394	141	216
395	141	216
396	141	215
397	142	214
398	142	214
399	142	213
400	142	213
401	142	212
402	143	211
403	143	211
404	143	210
405	143	210
406	143	209
407	144	208
408	144	208
409	144	207
410	144	207
411	144	206
412	145	206
413	145	205
414	145	205
415	145	204
416	145	204
417	146	203
418	146	202
419	146	202
420	146	201
421	146	201
422	147	200
423	147	200
424	147	199
425	147	199
426	148	198
427	148	198
428	148	197
429	148	197
430	148	196
431	149	195
432	149	195
433	149	194
434	149	194
435	149	193
436	150	193
437	150	192
438	150	192
439	150	191
440	150	191
441	151	190
442	151	190
443	151	189
444	151	189
445	151	188
446	152	188
447	152	187
448	152	187
449	152	186
450	153	186
451	153	185
452	153	185
453	153	184
454	153	184
455	154	183
456	154	183
457	154	182
458	154	182
459	154	181
460	155	181
461	155	180
462	155	180
463	155	179
464	155	179
465	156	178
466	156	178
467	156	177
468	156	177
469	156	176
470	157	176
471	157	175
472	157	175
473	157	175
474	157	174
475	158	174
476	158	173
477	158	173
478	158	172
479	158	172
480	159	171
481	159	171
482	159	170
483	159	170
484	159	169
485	160	169
486	160	168
487	160	168
488	160	168
489	160	167
490	161	167
491	161	166
492	161	166
493	161	165
494	162	165
495	162	164
496	162	164
497	162	163
498	162	163
499	163	163
500	163	162
501	163	162
502	163	161
503	163	161
504	164	160
505	164	160
506	164	159
507	164	159
508	164	159
509	165	158
510	165	158
511	165	157
512	165	157
513	165	156
514	166	156
515	166	156
516	166	155
517	166	155
518	166	154
519	167	154
520	167	153
521	167	153
522	167	153
523	168	152
524	168	152
525	168	151
526	168	151
527	168	150
528	169	150
529	169	150
530	169	149
531	169	149
532	169	148
533	170	148
534	170	148
535	170	147
536	170	147
537	170	146
538	171	146
539	171	145
540	171	145
541	171	145
542	171	144
543	172	144
544	172	143
545	172	143
546	172	143
547	173	142
548	173	142
549	173	141
550	173	141
551	173	141
552	174	140
553	174	140
554	174	139
555	174	139
556	175	139
557	175	138
558	175	138
559	175	137
560	175	137
561	176	137
562	176	136
563	176	136
564	176	136
565	176	135
566	177	135
567	177	134
568	177	134
569	177	134
570	177	133
571	178	133
572	178	132
573	178	132
574	178	132
575	178	131
576	179	131
577	179	130
578	179	130
579	179	130
580	179	129
581	180	129
582	180	129
583	180	128
584	180	128
585	181	127
586	181	127
587	181	127
588	181	126
589	181	126
590	182	126
591	182	125
592	182	125
593	182	124
594	182	124
595	183	124
596	183	123
597	183	123
598	183	123
599	183	122
600	184	122
601	184	121
602	184	121
603	184	121
604	184	120
605	185	120
606	185	120
607	185	119
608	185	119
609	186	118
610	186	118
611	186	118
612	186	117
613	186	117
614	187	117
615	187	116
616	187	116
617	187	116
618	187	115
619	188	115
620	188	114
621	188	114
622	188	114
623	188	113
624	189	113
625	189	113
626	189	112
627	189	112
628	189	112
629	190	111
630	190	111
631	190	110
632	190	110
633	190	110
634	191	109
635	191	109
636	191	109
637	191	108
638	191	108
639	192	108
640	192	107
641	192	107
642	192	107
643	193	106
644	193	106
645	193	106
646	193	105
647	193	105
648	194	105
649	194	104
650	194	104
651	194	103
652	195	103
653	195	103
654	195	102
655	195	102
656	195	102
657	196	101
658	196	101
659	196	101
660	196	100
661	197	100
662	197	100
663	197	99
664	197	99
665	197	99
666	198	98
667	198	98
668	198	98
669	198	97
670	198	97
671	199	97
672	199	96
673	199	96
674	199	96
675	200	95
676	200	95
677	200	95
678	200	94
679	200	94
680	201	94
681	201	93
682	201	93
683	201	93
684	201	92
685	202	92
686	202	92
687	202	91
688	202	91
689	203	91
690	203	90
691	203	90
692	203	90
693	203	89
694	204	89
695	204	89
696	204	88
697	204	88
698	204	88
699	205	87
700	205	87
701	205	87
702	205	86
703	205	86
704	206	86
705	206	85
706	206	85
707	206	85
708	206	84
709	207	84
710	207	84
711	207	83
712	207	83
713	208	83
714	208	82
715	208	82
716	208	82
717	208	82
718	209	81
719	209	81
720	209	81
721	209	80
722	209	80
723	210	80
724	210	79
725	210	79
726	210	79
727	210	78
728	211	78
729	211	78
730	211	77
731	211	77
732	211	77
733	212	76
734	212	76
735	212	76
736	212	75
737	212	75
738	213	75
739	213	74
740	213	74
741	213	74
742	213	74
743	214	73
744	214	73
745	214	73
746	214	72
747	215	72
748	215	72
749	215	71
750	215	71
751	215	71
752	216	70
753	216	70
754	216	70
755	216	69
756	216	69
757	217	69
758	217	68
759	217	68
760	217	68
761	217	68
762	218	67
763	218	67
764	218	67
765	218	66
766	218	66
767	219	66
768	219	65
769	219	65
770	219	65
771	219	64
772	220	64
773	220	64
774	220	64
775	220	63
776	221	63
777	221	63
778	221	62
779	221	62
780	221	62
781	221	61
782	222	61
783	222	61
784	222	60
785	222	60
786	223	60
787	223	60
788	223	59
789	223	59
790	223	59
791	224	58
792	224	58
793	224	58
794	224	57
795	224	57
796	225	57
797	225	57
798	225	56
799	225	56
800	225	56
801	226	55
802	226	55
803	226	55
804	226	54
805	226	54
806	227	54
807	227	54
808	227	53
809	227	53
810	227	53
811	228	52
812	228	52
813	228	52
814	228	51
815	229	51
816	229	51
817	229	51
818	229	50
819	229	50
820	230	50
821	230	49
822	230	49
823	230	49
824	230	48
825	231	48
826	231	48
827	231	48
828	231	47
829	231	47
830	232	47
831	232	46
832	232	46
833	232	46
834	232	46
835	233	45
836	233	45
837	233	45
838	233	44
839	233	44
840	234	44
841	234	43
842	234	43
843	234	43
844	234	43
845	235	42
846	235	42
847	235	42
848	235	41
849	235	41
850	236	41
851	236	41
852	236	40
853	236	40
854	237	40
855	237	39
856	237	39
857	237	39
858	237	39
859	237	38
860	238	38
861	238	38
862	238	37
863	238	37
864	238	37
865	239	36
866	239	36
867	239	36
868	239	36
869	239	35
870	240	35
871	240	35
872	240	34
873	240	34
874	240	34
875	241	34
876	241	33
877	241	33
878	241	33
879	241	32
880	242	32
881	242	32
882	242	32
883	242	31
884	242	31
885	243	31
886	243	31
887	243	30
888	243	30
889	244	30
890	244	29
891	244	29
892	244	29
893	244	29
894	245	28
895	245	28
896	245	28
897	245	27
898	245	27
899	246	27
900	246	27
901	246	26
902	246	26
903	246	26
904	247	25
905	247	25
906	247	25
907	247	25
908	247	24
909	248	24
910	248	24
911	248	23
912	248	23
913	248	23
914	249	23
915	249	22
916	249	22
917	249	22
918	249	22
919	250	21
920	250	21
921	250	21
922	250	20
923	250	20
924	251	20
925	251	20
926	251	19
927	251	19
928	251	19
929	252	18
930	252	18
931	252	18
932	252	18
933	253	17
934	253	17
935	253	17
936	253	17
937	253	16
938	254	16
939	254	16
940	254	15
941	254	15
942	254	15
943	255	15
944	255	14
945	255	14
946	255	14
947	255	14
948	256	13
949	256	13
950	256	13
951	256	12
952	256	12
953	257	12
954	257	12
955	257	11
956	257	11
957	257	11
958	258	11
959	258	10
960	258	10
961	258	10
962	258	9
963	259	9
964	259	9
965	259	9
966	259	8
967	259	8
968	260	8
969	260	8
970	260	7
971	260	7
972	261	7
973	261	6
974	261	6
975	261	6
976	261	6
977	262	5
978	262	5
979	262	5
980	262	5
981	262	4
982	263	4
983	263	4
984	263	4
985	263	3
986	263	3
987	264	3
988	264	2
989	264	2
990	264	2
991	264	2
992	265	1
993	265	1
994	265	1
995	265	1
996	265	0
997	266	0
998	266	0
999	266	0
