iter	Passed	Remaining
0	2	2542
1	2	1343
2	2	951
3	3	757
4	3	632
5	3	549
6	3	490
7	3	445
8	3	409
9	3	380
10	3	357
11	4	338
12	4	323
13	4	309
14	4	297
15	4	287
16	4	279
17	4	271
18	5	264
19	5	257
20	5	252
21	5	247
22	5	242
23	5	237
24	5	233
25	6	230
26	6	228
27	6	224
28	6	221
29	6	217
30	6	214
31	7	212
32	7	210
33	7	210
34	7	207
35	7	207
36	7	206
37	8	205
38	8	204
39	8	202
40	8	201
41	8	199
42	8	197
43	9	195
44	9	194
45	9	192
46	9	191
47	9	196
48	10	194
49	10	193
50	10	192
51	10	191
52	10	189
53	10	188
54	10	187
55	11	186
56	11	185
57	11	184
58	11	183
59	11	181
60	11	180
61	11	179
62	12	178
63	12	177
64	12	177
65	12	176
66	12	175
67	12	174
68	12	172
69	12	172
70	13	171
71	13	170
72	13	170
73	13	169
74	13	167
75	13	167
76	13	166
77	14	165
78	14	165
79	14	164
80	14	163
81	14	163
82	14	162
83	14	161
84	14	161
85	15	160
86	15	159
87	15	159
88	15	158
89	15	157
90	15	157
91	15	156
92	16	156
93	16	155
94	16	155
95	16	154
96	16	154
97	16	153
98	16	153
99	16	152
100	17	152
101	17	151
102	17	151
103	17	150
104	17	150
105	17	149
106	17	148
107	17	148
108	18	147
109	18	146
110	18	146
111	18	146
112	18	145
113	18	145
114	18	145
115	18	144
116	19	144
117	19	143
118	19	143
119	19	143
120	19	142
121	19	142
122	19	141
123	20	141
124	20	141
125	20	140
126	20	140
127	20	140
128	20	140
129	20	140
130	21	140
131	21	139
132	21	139
133	21	139
134	21	138
135	21	138
136	21	137
137	22	137
138	22	137
139	22	137
140	22	137
141	22	137
142	22	137
143	23	137
144	23	137
145	23	137
146	23	136
147	23	136
148	23	136
149	24	136
150	24	135
151	24	135
152	24	135
153	24	135
154	24	134
155	24	134
156	24	133
157	25	133
158	25	133
159	25	133
160	25	132
161	25	132
162	25	132
163	25	132
164	26	131
165	26	131
166	26	131
167	26	130
168	26	130
169	26	130
170	26	130
171	26	129
172	27	129
173	27	129
174	27	129
175	27	128
176	27	128
177	27	128
178	27	128
179	28	127
180	28	127
181	28	127
182	28	127
183	28	127
184	29	128
185	29	127
186	29	127
187	29	127
188	29	127
189	29	127
190	29	127
191	30	126
192	30	126
193	30	126
194	30	126
195	30	125
196	30	125
197	30	125
198	31	125
199	31	124
200	31	124
201	31	124
202	31	124
203	31	124
204	31	123
205	32	123
206	32	123
207	32	123
208	32	122
209	32	122
210	32	122
211	32	122
212	33	121
213	33	121
214	33	121
215	33	121
216	33	121
217	33	120
218	33	120
219	33	120
220	34	120
221	34	119
222	34	119
223	34	119
224	34	119
225	34	118
226	34	118
227	35	118
228	35	118
229	35	118
230	35	117
231	35	117
232	35	117
233	35	117
234	35	116
235	36	116
236	36	116
237	36	116
238	36	116
239	36	115
240	36	115
241	36	115
242	36	115
243	37	115
244	37	114
245	37	114
246	37	114
247	37	114
248	37	113
249	37	113
250	38	113
251	38	113
252	38	113
253	38	113
254	38	113
255	38	112
256	38	112
257	39	112
258	39	112
259	39	112
260	39	111
261	39	111
262	39	111
263	40	111
264	40	111
265	40	111
266	40	111
267	40	110
268	40	110
269	40	110
270	41	110
271	41	110
272	41	110
273	41	109
274	41	109
275	41	109
276	41	109
277	42	109
278	42	109
279	42	108
280	42	108
281	42	108
282	42	108
283	42	108
284	43	108
285	43	108
286	43	108
287	43	107
288	43	107
289	43	107
290	44	107
291	44	107
292	44	106
293	44	106
294	44	106
295	44	106
296	44	106
297	44	105
298	45	105
299	45	105
300	45	105
301	45	105
302	45	104
303	45	104
304	45	104
305	46	104
306	46	104
307	46	104
308	46	103
309	46	103
310	46	103
311	46	103
312	46	103
313	47	103
314	47	102
315	47	102
316	47	102
317	47	102
318	47	102
319	47	101
320	48	101
321	48	101
322	48	101
323	48	101
324	48	101
325	48	100
326	48	100
327	49	100
328	49	100
329	49	100
330	49	100
331	49	99
332	49	99
333	49	99
334	50	99
335	50	99
336	50	99
337	50	98
338	50	98
339	50	98
340	50	98
341	50	98
342	51	97
343	51	97
344	51	97
345	51	97
346	51	97
347	51	97
348	51	96
349	52	96
350	52	96
351	52	96
352	52	96
353	52	95
354	52	95
355	52	95
356	52	95
357	53	95
358	53	95
359	53	94
360	53	94
361	53	94
362	53	94
363	53	94
364	54	94
365	54	94
366	54	93
367	54	93
368	54	93
369	54	93
370	55	93
371	55	93
372	55	92
373	55	92
374	55	92
375	55	92
376	55	92
377	55	92
378	56	91
379	56	91
380	56	91
381	56	91
382	56	91
383	56	91
384	56	90
385	57	90
386	57	90
387	57	90
388	57	90
389	57	90
390	57	89
391	57	89
392	58	89
393	58	89
394	58	89
395	58	89
396	58	89
397	58	88
398	58	88
399	59	88
400	59	88
401	59	88
402	59	88
403	59	87
404	59	87
405	59	87
406	59	87
407	60	87
408	60	87
409	60	86
410	60	86
411	60	86
412	60	86
413	60	86
414	61	86
415	61	85
416	61	85
417	61	85
418	61	85
419	61	85
420	61	85
421	62	84
422	62	84
423	62	84
424	62	84
425	62	84
426	62	84
427	62	83
428	62	83
429	63	83
430	63	83
431	63	83
432	63	83
433	63	82
434	63	82
435	63	82
436	64	82
437	64	82
438	64	82
439	65	82
440	65	82
441	65	82
442	65	82
443	65	82
444	65	82
445	66	82
446	66	81
447	66	81
448	66	81
449	66	81
450	66	81
451	66	81
452	66	80
453	67	80
454	67	80
455	67	80
456	67	80
457	67	80
458	67	79
459	67	79
460	68	79
461	68	79
462	68	79
463	68	79
464	68	78
465	68	78
466	68	78
467	69	78
468	69	78
469	69	78
470	69	77
471	69	77
472	69	77
473	69	77
474	70	77
475	70	77
476	70	77
477	70	76
478	70	76
479	70	76
480	70	76
481	71	76
482	71	76
483	71	76
484	71	75
485	71	75
486	71	75
487	71	75
488	71	75
489	72	75
490	72	74
491	72	74
492	72	74
493	72	74
494	72	74
495	72	74
496	72	73
497	73	73
498	73	73
499	73	73
500	73	73
501	73	73
502	73	72
503	73	72
504	74	72
505	74	72
506	74	72
507	74	72
508	74	71
509	74	71
510	74	71
511	75	71
512	75	71
513	75	71
514	75	71
515	75	70
516	75	70
517	75	70
518	76	70
519	76	70
520	76	70
521	76	70
522	76	69
523	76	69
524	76	69
525	77	69
526	77	69
527	77	69
528	77	68
529	77	68
530	77	68
531	77	68
532	77	68
533	78	68
534	78	67
535	78	67
536	78	67
537	78	67
538	78	67
539	78	67
540	79	67
541	79	66
542	79	66
543	79	66
544	79	66
545	79	66
546	79	66
547	79	65
548	80	65
549	80	65
550	80	65
551	80	65
552	80	65
553	80	65
554	80	64
555	81	64
556	81	64
557	81	64
558	81	64
559	81	64
560	81	63
561	81	63
562	81	63
563	82	63
564	82	63
565	82	63
566	82	63
567	82	62
568	82	62
569	83	62
570	83	62
571	83	62
572	83	62
573	83	62
574	83	61
575	83	61
576	83	61
577	84	61
578	84	61
579	84	61
580	84	60
581	84	60
582	84	60
583	84	60
584	85	60
585	85	60
586	85	60
587	85	59
588	85	59
589	85	59
590	86	59
591	86	59
592	86	59
593	86	59
594	86	58
595	86	58
596	86	58
597	86	58
598	87	58
599	87	58
600	87	58
601	87	57
602	87	57
603	87	57
604	87	57
605	88	57
606	88	57
607	88	56
608	88	56
609	88	56
610	88	56
611	88	56
612	88	56
613	89	56
614	89	55
615	89	55
616	89	55
617	89	55
618	89	55
619	89	55
620	90	54
621	90	54
622	90	54
623	90	54
624	90	54
625	90	54
626	90	54
627	91	53
628	91	53
629	91	53
630	91	53
631	91	53
632	91	53
633	91	52
634	91	52
635	92	52
636	92	52
637	92	52
638	92	52
639	92	52
640	92	51
641	92	51
642	93	51
643	93	51
644	93	51
645	93	51
646	93	51
647	93	50
648	93	50
649	93	50
650	94	50
651	94	50
652	94	50
653	94	50
654	94	49
655	94	49
656	94	49
657	95	49
658	95	49
659	95	49
660	95	48
661	95	48
662	95	48
663	95	48
664	96	48
665	96	48
666	96	48
667	96	47
668	96	47
669	96	47
670	96	47
671	96	47
672	97	47
673	97	47
674	97	46
675	97	46
676	97	46
677	97	46
678	97	46
679	98	46
680	98	45
681	98	45
682	98	45
683	98	45
684	98	45
685	98	45
686	99	45
687	99	44
688	99	44
689	99	44
690	99	44
691	99	44
692	99	44
693	99	44
694	100	43
695	100	43
696	100	43
697	100	43
698	100	43
699	100	43
700	100	43
701	101	42
702	101	42
703	101	42
704	101	42
705	101	42
706	101	42
707	101	42
708	102	41
709	102	42
710	103	41
711	103	41
712	103	41
713	103	41
714	103	41
715	103	41
716	103	41
717	104	40
718	104	40
719	104	40
720	104	40
721	104	40
722	104	40
723	104	39
724	105	39
725	105	39
726	105	39
727	105	39
728	105	39
729	105	39
730	105	38
731	105	38
732	106	38
733	106	38
734	106	38
735	106	38
736	106	38
737	106	37
738	107	37
739	107	37
740	107	37
741	107	37
742	107	37
743	107	37
744	107	36
745	107	36
746	108	36
747	108	36
748	108	36
749	108	36
750	108	36
751	108	35
752	108	35
753	108	35
754	109	35
755	109	35
756	109	35
757	109	34
758	109	34
759	109	34
760	109	34
761	110	34
762	110	34
763	110	34
764	110	33
765	110	33
766	110	33
767	110	33
768	111	33
769	111	33
770	111	33
771	111	32
772	111	32
773	111	32
774	111	32
775	111	32
776	112	32
777	112	32
778	112	31
779	112	31
780	112	31
781	112	31
782	112	31
783	112	31
784	113	30
785	113	30
786	113	30
787	113	30
788	113	30
789	113	30
790	113	30
791	114	29
792	114	29
793	114	29
794	114	29
795	114	29
796	114	29
797	114	29
798	114	28
799	115	28
800	115	28
801	115	28
802	115	28
803	115	28
804	115	28
805	115	27
806	116	27
807	116	27
808	116	27
809	116	27
810	116	27
811	116	27
812	117	26
813	117	26
814	117	26
815	117	26
816	117	26
817	117	26
818	117	26
819	117	25
820	118	25
821	118	25
822	118	25
823	118	25
824	118	25
825	118	25
826	118	24
827	119	24
828	119	24
829	119	24
830	119	24
831	119	24
832	119	24
833	119	23
834	120	23
835	120	23
836	120	23
837	120	23
838	120	23
839	120	22
840	120	22
841	121	22
842	121	22
843	121	22
844	121	22
845	121	22
846	121	21
847	121	21
848	121	21
849	122	21
850	122	21
851	122	21
852	122	21
853	122	20
854	122	20
855	122	20
856	123	20
857	123	20
858	123	20
859	123	20
860	123	19
861	123	19
862	123	19
863	124	19
864	124	19
865	124	19
866	124	19
867	124	18
868	124	18
869	124	18
870	124	18
871	125	18
872	125	18
873	125	18
874	125	17
875	125	17
876	125	17
877	125	17
878	126	17
879	126	17
880	126	17
881	126	16
882	126	16
883	126	16
884	126	16
885	126	16
886	127	16
887	127	16
888	127	15
889	127	15
890	127	15
891	127	15
892	127	15
893	128	15
894	128	15
895	128	14
896	128	14
897	128	14
898	128	14
899	128	14
900	128	14
901	129	14
902	129	13
903	129	13
904	129	13
905	129	13
906	129	13
907	129	13
908	130	13
909	130	12
910	130	12
911	130	12
912	130	12
913	130	12
914	130	12
915	131	12
916	131	11
917	131	11
918	131	11
919	131	11
920	131	11
921	131	11
922	132	11
923	132	10
924	132	10
925	132	10
926	132	10
927	132	10
928	132	10
929	133	10
930	133	9
931	133	9
932	133	9
933	133	9
934	133	9
935	133	9
936	134	9
937	134	8
938	134	8
939	134	8
940	134	8
941	135	8
942	135	8
943	135	8
944	135	7
945	135	7
946	135	7
947	135	7
948	136	7
949	136	7
950	136	7
951	136	6
952	136	6
953	136	6
954	136	6
955	136	6
956	137	6
957	137	6
958	137	5
959	137	5
960	137	5
961	137	5
962	137	5
963	138	5
964	138	5
965	138	4
966	138	4
967	138	4
968	138	4
969	138	4
970	139	4
971	139	4
972	139	3
973	139	3
974	139	3
975	139	3
976	139	3
977	140	3
978	140	3
979	140	2
980	140	2
981	140	2
982	140	2
983	140	2
984	140	2
985	141	2
986	141	1
987	141	1
988	141	1
989	141	1
990	141	1
991	141	1
992	142	1
993	142	0
994	142	0
995	142	0
996	142	0
997	142	0
998	142	0
999	143	0
